Source,Target,Type
n0,n16,Directed
n0,n25,Directed
n0,n28,Directed
n0,n29,Directed
n0,n39,Directed
n0,n62,Directed
n0,n34,Directed
n0,n31,Directed
n0,n82,Directed
n0,n69,Directed
n0,n13,Directed
n0,n45,Directed
n0,n54,Directed
n0,n57,Directed
n0,n24,Directed
n0,n80,Directed
n0,n37,Directed
n0,n83,Directed
n0,n1,Directed
n0,n12,Directed
n0,n58,Directed
n0,n15,Directed
n0,n30,Directed
n0,n44,Directed
n0,n52,Directed
n0,n66,Directed
n0,n77,Directed
n0,n32,Directed
n0,n43,Directed
n0,n76,Directed
n0,n26,Directed
n0,n59,Directed
n0,n7,Directed
n0,n70,Directed
n0,n78,Directed
n0,n11,Directed
n0,n5,Directed
n0,n51,Directed
n0,n3,Directed
n0,n47,Directed
n0,n23,Directed
n0,n72,Directed
n0,n67,Directed
n0,n27,Directed
n0,n41,Directed
n0,n2,Directed
n0,n4,Directed
n0,n17,Directed
n0,n65,Directed
n0,n81,Directed
n0,n46,Directed
n0,n22,Directed
n0,n38,Directed
n0,n48,Directed
n0,n55,Directed
n0,n14,Directed
n0,n20,Directed
n0,n35,Directed
n0,n50,Directed
n0,n33,Directed
n0,n49,Directed
n0,n53,Directed
n0,n63,Directed
n0,n56,Directed
n0,n64,Directed
n0,n73,Directed
n0,n18,Directed
n0,n79,Directed
n0,n36,Directed
n0,n75,Directed
n0,n10,Directed
n0,n21,Directed
n0,n42,Directed
n0,n19,Directed
n0,n60,Directed
n0,n9,Directed
n0,n74,Directed
n0,n68,Directed
n0,n6,Directed
n0,n8,Directed
n0,n61,Directed
n0,n40,Directed
n0,n71,Directed
n84,n126,Directed
n84,n111,Directed
n84,n131,Directed
n84,n85,Directed
n84,n4242,Directed
n84,n108,Directed
n84,n97,Directed
n84,n103,Directed
n84,n115,Directed
n84,n99,Directed
n84,n12,Directed
n84,n120,Directed
n84,n144,Directed
n84,n112,Directed
n84,n113,Directed
n84,n94,Directed
n84,n118,Directed
n84,n145,Directed
n84,n130,Directed
n84,n98,Directed
