id,label
n0,"El-adaway Ih, 2017, J Infrastruct Syst, V23, Doi 10.1061/(asce)is.1943-555x.0000331"
n1,"Haghani A., 2003, Transport Res Rec, P176"
n2,"Brush Er, 2013, Plos Comput Biol, V9, Doi 10.1371/journal.pcbi.1003109"
n3,"Lam Whk, 2002, J Adv Transport, V36, P265"
n4,"Cook W., 1998, Combinatorial Optimi"
n5,"Perez-cartagena Ri, 2005, J Transp Eng-asce, V131, P904, Doi 10.1061/(asce)0733-947x(2005)131:12(904)"
n6,"Pryke S.d., 2004, Constr Manag Ec, V22, P787, Doi Doi 10.1080/0144619042000206533"
n7,"Taylor Map, 2008, Growth Change, V39, P593, Doi 10.1111/j.1468-2257.2008.00448.x"
n8,"Ruan X., 2012, Construction Managem, V30, P5, Doi Doi 10.1080/01446193.2011.654127"
n9,"Central Mississippi Planning And Development District, 2014, Traff An Zon"
n10,"Soda G., 1995, Ind Struct Int Netw"
n11,"West D. B., 1996, Intro Graph Theory"
n12,"Labianca G, 2006, Acad Manage Rev, V31, P596, Doi 10.5465/amr.2006.21318920"
n13,"Mdot (mississippi Department Of Transportation), 2014, Mdot Traff Count App"
n14,"Ahuja Mk, 2003, Manage Sci, V49, P21, Doi 10.1287/mnsc.49.1.21.12756"
n15,"Cowan R, 2009, Acad Manage Rev, V34, P320"
n16,"Usgao (u.s. General Accounting Office), 1989, Traff Cong Trends Me"
n17,"Liu P, 2007, J Transp Eng-asce, V133, P327, Doi 10.1061/(asce)0733-947x(2007)133:5(327)"
n18,"Rahka H., 2004, J Transp Eng, P796, Doi [10.1061/(asce)0733-947x(2004)130:6(796), Doi 10.1061/(asce)0733-947x(2004)130:6(796)]"
n19,"Brandes U, 2001, J Math Sociol, V25, P163"
n20,"Jun J, 2009, J Transp Eng, V135, P316, Doi 10.1061/(asce)te.1943-5436.0000001"
n21,"Mccray T, 2007, Netw Spat Econ, V7, P397, Doi 10.1007/s11067-007-9031-x"
n22,"Harju T., 2011, Graph Theory"
n23,"Murray At, 2008, Growth Change, V39, P573, Doi 10.1111/j.1468-2257.2008.00447.x"
n24,"Jenelius E, 2009, J Transp Geogr, V17, P234, Doi 10.1016/j.jtrangeo.2008.06.002"
n25,"Park K., 2010, Asprs Ann C"
n26,"Subprosom K., 2007, J Constr Eng Manage, P64, Doi [10.1061/(asce)0733-9364(2007)133%3a1(64), Doi 10.1061/(asce)0733-9364(2007)133%3a1(64)]"
n27,"Sando T, 2009, J Transp Eng-asce, V135, P253, Doi 10.1061/(asce)te.1943-5436.0000005"
n28,"Otte E, 2002, J Inform Sci, V28, P441, Doi 10.1177/016555102762202123"
n29,"Freeman Lc, 1977, Sociometry, V40, P35, Doi 10.2307/3033543"
n30,"Duthie J, 2010, J Urban Plan D-asce, V136, P294, Doi 10.1061/(asce)up.1943-5444.0000026"
n31,"Damnjanovic I., 2008, Constr Manage Ec, V26, P979, Doi Doi 10.1080/01446190802272707"
n32,"Greve Hr, 2010, Acad Manage J, V53, P302"
n33,"Porta S., 2006, Territorio, V39, P189"
n34,"Zhang Q, 2013, Plos One, V8, Doi [10.1371/journal.pone.0051043, 10.1371/journal.pone.0055437]"
n35,"Kang U., 2011, Sdm, V2011, P119"
n36,"Sariyuce A. E., 2013, Ieee Int C Bigdata"
